UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm2.5_aqi_atm,pm2.5_aqi_cf_1,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm2.5_aqi_atm_b,pm2.5_aqi_cf_1_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2020/04/10T00:24:31z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.42,0.02,36568,0,1077,2.94,5.00,6.08,2.94,5.00,6.08,21,21,729.46,210.12,33.46,3.66,1.72,0.49,3.13,5.13,5.54,3.13,5.13,5.54,21,21,736.12,208.81,33.67,2.90,0.00,0.00
2020/04/10T00:26:31z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.38,0.02,36568,0,1197,3.16,4.70,5.72,3.16,4.70,5.72,20,20,721.27,207.70,27.59,4.25,0.94,0.94,2.37,4.25,5.36,2.37,4.25,5.36,18,18,624.45,179.01,28.01,4.69,1.76,0.90
2020/04/10T00:28:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.41,nan,36656,0,117,3.22,4.69,5.65,3.22,4.69,5.65,20,20,738.00,206.59,29.10,4.65,0.49,0.49,3.09,4.79,6.91,3.09,4.79,6.91,20,20,665.30,203.55,36.32,5.57,2.38,1.57
2020/04/10T00:30:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.40,0.02,36568,0,237,2.70,4.37,4.57,2.70,4.37,4.57,18,18,715.52,200.87,29.24,3.08,0.03,0.03,2.14,4.06,5.11,2.14,4.06,5.11,17,17,623.20,186.21,32.63,3.38,1.69,0.90
2020/04/10T00:32:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.39,0.02,36568,0,357,2.94,4.67,6.14,2.94,4.67,6.14,19,19,691.05,194.11,28.29,5.82,1.76,1.27,2.10,3.76,4.51,2.10,3.76,4.51,16,16,615.44,167.63,28.21,3.85,0.47,0.47
2020/04/10T00:34:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,65,74,1007.48,0.02,36568,0,477,2.15,4.61,6.11,2.15,4.61,6.11,19,19,678.00,185.85,32.94,7.33,1.85,1.85,2.37,4.31,6.84,2.37,4.31,6.84,18,18,631.57,180.54,30.13,8.69,3.13,1.82
2020/04/10T00:36:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.47,0.02,36568,0,597,2.61,4.81,6.19,2.61,4.81,6.19,20,20,707.86,195.23,33.25,7.81,1.31,0.88,2.97,4.46,5.87,2.97,4.46,5.87,19,19,680.82,198.71,30.69,3.88,1.88,1.53
2020/04/10T00:38:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.45,0.02,36504,0,717,2.45,4.12,6.00,2.45,4.12,6.00,17,17,673.80,192.71,31.57,4.77,2.65,0.92,2.30,3.77,5.06,2.30,3.77,5.06,16,16,638.36,177.79,23.33,3.86,1.69,0.77
2020/04/10T00:40:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.41,0.02,36504,0,837,1.98,3.51,4.06,1.98,3.51,4.06,15,15,580.98,167.28,25.69,3.29,0.68,0.00,2.23,3.17,4.51,2.23,3.17,4.51,13,13,570.61,162.45,26.04,2.55,1.71,0.49
2020/04/10T00:42:29z,84:f3:eb:28:ab:17,4.10,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,88,64,74,1007.37,0.02,36504,0,957,2.09,3.89,4.95,2.09,3.89,4.95,16,16,593.86,171.12,29.49,5.02,1.69,0.52,1.66,3.51,3.87,1.66,3.51,3.87,15,15,500.91,143.99,25.30,4.00,0.63,0.00
